"회사명 : (주)에바스코스메틱"
"품목구분	","BOM버전	","생산품목명	","소모품목코드	","소모품목명	","품목구분	","소요량	","생산품목코드	","입고단가	","구매처명	","구매처코드	","적요	","규격명	",""
"[부재료]	","기본	","샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸	","SXA-8791	","(대박스)미미로린스쿠팡납품용대박스	","[제품]	","72.000000","AOSP003	","618.000000","명진포장(주)	","1348684568	","	","30개입 (395*330*250), 28번 박스	",""
"[부재료]	","기본	","샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸	","SXC-0041	","(패드)미미로린스쿠팡납품용패드	","[제품]	","72.000000","AOSP003	","94.000000","명진포장(주)	","1348684568	","	","30개입 (380*315*0)	",""
"[반제품]	","기본	","샤샤 알로에베라 앤 프로폴리스 샴푸	","PAOSP0040	","샤샤 알로에베라 앤 프로폴리스 샴푸 1500ml	","[제품]	","1,000.000000","AOSP004	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 알로에베라 앤 프로폴리스 샴푸	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOSP004	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 알로에베라 앤 프로폴리스 샴푸	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOSP004	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 아르간 오일 샴푸	","PAOSPM000	","샤샤 아르간 오일 샴푸 500ML	","[제품]	","1,000.000000","AOSPM00	","","	","	","	","500ml	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXA-8791	","(대박스)미미로린스쿠팡납품용대박스	","[제품]	","34.000000","AOSPM00	","618.000000","명진포장(주)	","1348684568	","	","30개입 (395*330*250), 28번 박스	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXC-0041	","(패드)미미로린스쿠팡납품용패드	","[제품]	","34.000000","AOSPM00	","94.000000","명진포장(주)	","1348684568	","	","30개입 (380*315*0)	",""
"[반제품]	","기본	","샤샤 아르간 오일 샴푸	","PAOSPT000	","샤샤 아르간 오일 샴푸 100ML	","[제품]	","1,000.000000","AOSPT00	","","	","	","	","100ml / 튜브	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXB-0294	","(칸사리)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","13.000000","AOSPT00	","307.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (435*355*180)	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXA-7077	","(대박스)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","13.000000","AOSPT00	","936.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (450*370*200)	",""
"[반제품]	","기본	","샤샤 아르간오일 슈퍼하드 워터 스프레이	","PAOWS0000	","샤샤 아르간오일 슈퍼하드 워터 스프레이	","[제품]	","1,000.000000","AOWS000	","","	","	","	","250ML	",""
"[부재료]	","기본	","샤샤 아르간오일 슈퍼하드 워터 스프레이	","SXA-3131	","(대박스)샤샤 아르간 볼륨 오일 박스(로에랑스 미스트, 페디슨 거품형 공용) 30번 박스	","[제품]	","20.000000","AOWS000	","743.000000","명진포장(주)	","1348684568	","	","510*325*225, 30번 박스, 기존 박스 배합 SKSSSK > 변경 배합 SKKSKK	",""
"[원재료]	","기본	","케어미 어르신 전용 고보습 바디로션	","MXD-0002A-1	","DI-Water	","[반제품]	","64,738.000000","BADML0000	","","	","	","1110	","	",""
"[원재료]	","기본	","케어미 어르신 전용 고보습 바디로션	","MXE-0001	","Dissolvine NA2 (EDTA-2Na)	","[반제품]	","20.000000","BADML0000	","6,500.000000","주식회사 한송	","1318623602	","1210	","	",""
"[원재료]	","기본	","케어미 어르신 전용 고보습 바디로션	","MPD-0003	","Methyl Paraben (M.P)	","[반제품]	","200.000000","BADML0000	","11,500.000000","(주)블루켐	","1258618593	","1220	","WUHU	",""
"[원재료]	","기본	","케어미 어르신 전용 고보습 바디로션	","MKG-0001	","Glycerin	","[반제품]	","3,500.000000","BADML0000	","2,580.000000","주식회사 가온케미칼	","1448120760	","1310	","	",""
"[원재료]	","기본	","케어미 어르신 전용 고보습 바디로션	","MXT-0001	","T E A	","[반제품]	","300.000000","BADML0000	","2,700.000000","주식회사 탑케미칼	","4998100965	","1320	","	",""
